2020-10-03 09:47:12,816: 'a'
2020-10-03 09:47:13,687: 'd'
2020-10-03 09:47:14,979: 'w'
2020-10-03 09:47:16,020: 'h'
2020-10-03 09:47:16,120: 'e'
2020-10-03 09:47:16,266: 'l'
2020-10-03 09:47:16,446: 'l'
2020-10-03 09:47:16,609: 'o'
2020-10-03 09:47:17,963: Key.enter
2020-10-03 09:47:30,803: 'w'
2020-10-03 09:47:30,956: 'h'
2020-10-03 09:47:31,022: 'a'
2020-10-03 09:47:31,128: 't'
2020-10-03 09:47:31,223: Key.space
2020-10-03 09:47:31,502: 't'
2020-10-03 09:47:31,925: Key.backspace
2020-10-03 09:47:32,169: 'd'
2020-10-03 09:47:32,340: 'o'
2020-10-03 09:47:32,429: 'e'
2020-10-03 09:47:32,496: 's'
2020-10-03 09:47:32,680: Key.space
2020-10-03 09:47:33,133: 't'
2020-10-03 09:47:33,208: 'h'
2020-10-03 09:47:33,313: 'e'
2020-10-03 09:47:33,434: Key.space
2020-10-03 09:47:35,115: 'f'
2020-10-03 09:47:35,214: 'o'
2020-10-03 09:47:35,353: 'x'
2020-10-03 09:47:35,505: Key.space
2020-10-03 09:47:35,886: 's'
2020-10-03 09:47:36,018: 'a'
2020-10-03 09:47:36,120: 'y'
2020-10-03 09:47:36,476: Key.alt_l
2020-10-03 09:47:36,569: Key.tab
2020-10-03 09:47:49,861: Key.ctrl_l
2020-10-03 09:47:49,952: '\x03'
2020-10-03 09:47:51,421: Key.ctrl_l
2020-10-03 09:47:51,490: '\x03'
2020-10-03 09:47:54,887: 'e'
2020-10-03 09:47:54,922: 'x'
2020-10-03 09:47:55,015: 'i'
2020-10-03 09:47:55,152: 't'
2020-10-03 09:47:55,329: Key.enter
